In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL26;SrcProxy.allInstances()->select(p|not (p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined()))->size() = TrgVariableDeclaration.allInstances()->select(vd|vd.name='r')->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.07765545968461768;0.31868131868131866;0.38;0.6593406593406593;1.0;0.1813759555246699;0.03225806451612903;0.31868131868131866;0.5645186610567614;0.20098811779509515;29.0;0.29;0.42140157782132387;0.6170212765957447;0.2009726415066106;0.2345679012345679;13.564516129032258;1.0
SubCall2Return;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
Busy2SelectCase;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
SubAction2Function;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
Redirect2Return;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
StringSwitch2SelectStat;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
NoAnswer2SelectCase;0.07765545968461768;0.31868131868131866;0.38;0.6593406593406593;1.0;0.1813759555246699;0.03225806451612903;0.31868131868131866;0.5645186610567614;0.20098811779509515;29.0;0.29;0.42140157782132387;0.6170212765957447;0.2009726415066106;0.2345679012345679;13.564516129032258;1.0
CPL2Program;0.061473486625997185;0.6043956043956044;0.6;0.7682994971130563;0.9322033898305084;0.08091414453366276;0.04421221864951769;0.002093099690359633;0.7506128370979551;0.09307036360231631;54.6;0.55;0.6415228523509806;0.9;0.19536283772215932;0.42857142857142855;75.625;0.5762514551804424
Outgoing2Method;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;91.0;0.91;1.0;0.0;0.9998779147845196;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
Proxy2Return;-0.0037059913526868438;0.31868131868131866;0.35;0.6124656593406593;0.90625;-0.008013355592654424;0.0256978289765175;4.5148883947504893E-4;0.5374057545792984;-0.008988968316207744;28.7;0.29;0.39360527445021243;0.775;0.13033027779553108;0.21212121212121213;12.938461538461539;0.48876404494382025
Default2SelectDefault;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;91.0;0.91;1.0;0.0;0.9998779147845196;1.0;1.0;1.0
SwitchedAddress2SelectCase;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
NotPresent2ErrorResponse;0.04153354632587859;0.2857142857142857;0.34;0.6243386243386243;0.962962962962963;0.1025089605734767;0.028169014084507043;0.0010361868324565598;0.5245305283129621;0.1125513670840928;25.9;0.26;0.37982867450611596;0.6409788166544923;0.16369819516032066;0.20481927710843373;10.242424242424242;0.72
Location2URIConstant;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
Incoming2Method;0.0;0.0;0.09;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.3684210526315789;0.21052631578947367
EXAM-AVG;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.763157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.6578947368421053;0.07894736842105263;0.07894736842105263;0.3421052631578947;0.13157894736842105


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL26;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL26;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.3684210526315789;0.21052631578947367

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL26;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.763157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.6578947368421053;0.07894736842105263;0.07894736842105263;0.3421052631578947;0.13157894736842105
