In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcRedirect.allInstances()->size() + SrcRedirection.allInstances()->size() = TrgRedirectionErrorResponse.allInstances() -> select(rer | rer.errorKind=RedirectionErrorKind::MOVED_PERMANENTLY or rer.errorKind=RedirectionErrorKind::MOVED_TEMPORARILY or rer.errorKind=RedirectionErrorKind::MULTIPLE_CHOICES)->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SubCall2Return;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Busy2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SubAction2Function;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Redirect2Return;0.10828877005347594;0.4155844155844156;0.47126436781609193;0.6926406926406927;0.9696969696969697;0.19043887147335423;0.040973111395646605;0.0022630034298645736;0.6348156806865233;0.20744695343336314;31.90909090909091;0.367816091954023;0.5156393868926757;0.6573705179282868;0.2458420686007938;0.3082706766917293;22.26086956521739;0.8060453400503779
StringSwitch2SelectStat;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
NoAnswer2SelectCase;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8850574712643678;1.0;0.0;0.9998701467341904;1.0;1.0;1.0
CPL2Program;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Outgoing2Method;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8850574712643678;1.0;0.0;0.9998701467341904;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Proxy2Return;-0.008021390374331552;0.37662337662337664;0.40229885057471265;0.6277056277056277;0.8787878787878788;-0.014106583072100314;0.0306553911205074;4.374855970481946E-4;0.5753017106221617;-0.015366440995063938;28.636363636363637;0.3333333333333333;0.4479297181509616;0.7951807228915663;0.1485295831129796;0.2517985611510791;16.173076923076923;0.48494983277591974
Default2SelectDefault;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
NotPresent2ErrorResponse;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Location2URIConstant;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Otherwise2SelectDefault;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Incoming2Method;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.42105263157894735;0.3157894736842105
EXAM-AVG;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.3157894736842105;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.6842105263157895;0.07894736842105263;0.07894736842105263;0.39473684210526316;0.18421052631578946

OCL29;SrcNoAnswer.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// noanswer'})->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SubCall2Return;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Busy2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SubAction2Function;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Redirect2Return;0.10828877005347594;0.4155844155844156;0.47126436781609193;0.6926406926406927;0.9696969696969697;0.19043887147335423;0.040973111395646605;0.0022630034298645736;0.6348156806865233;0.20744695343336314;31.90909090909091;0.367816091954023;0.5156393868926757;0.6573705179282868;0.2458420686007938;0.3082706766917293;22.26086956521739;0.8060453400503779
StringSwitch2SelectStat;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
NoAnswer2SelectCase;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8850574712643678;1.0;0.0;0.9998701467341904;1.0;1.0;1.0
CPL2Program;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Outgoing2Method;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8850574712643678;1.0;0.0;0.9998701467341904;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Proxy2Return;-0.008021390374331552;0.37662337662337664;0.40229885057471265;0.6277056277056277;0.8787878787878788;-0.014106583072100314;0.0306553911205074;4.374855970481946E-4;0.5753017106221617;-0.015366440995063938;28.636363636363637;0.3333333333333333;0.4479297181509616;0.7951807228915663;0.1485295831129796;0.2517985611510791;16.173076923076923;0.48494983277591974
Default2SelectDefault;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
NotPresent2ErrorResponse;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Location2URIConstant;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Otherwise2SelectDefault;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Incoming2Method;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.42105263157894735;0.3157894736842105
EXAM-AVG;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.3157894736842105;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.6842105263157895;0.07894736842105263;0.07894736842105263;0.39473684210526316;0.18421052631578946

OCL31;SrcRedirection.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// redirection'})->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SubCall2Return;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Busy2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SubAction2Function;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Redirect2Return;0.10828877005347594;0.4155844155844156;0.47126436781609193;0.6926406926406927;0.9696969696969697;0.19043887147335423;0.040973111395646605;0.0022630034298645736;0.6348156806865233;0.20744695343336314;31.90909090909091;0.367816091954023;0.5156393868926757;0.6573705179282868;0.2458420686007938;0.3082706766917293;22.26086956521739;0.8060453400503779
StringSwitch2SelectStat;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
NoAnswer2SelectCase;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8850574712643678;1.0;0.0;0.9998701467341904;1.0;1.0;1.0
CPL2Program;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Outgoing2Method;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8850574712643678;1.0;0.0;0.9998701467341904;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Proxy2Return;-0.008021390374331552;0.37662337662337664;0.40229885057471265;0.6277056277056277;0.8787878787878788;-0.014106583072100314;0.0306553911205074;4.374855970481946E-4;0.5753017106221617;-0.015366440995063938;28.636363636363637;0.3333333333333333;0.4479297181509616;0.7951807228915663;0.1485295831129796;0.2517985611510791;16.173076923076923;0.48494983277591974
Default2SelectDefault;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
NotPresent2ErrorResponse;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Location2URIConstant;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
Otherwise2SelectDefault;0.08918185343156262;0.2987012987012987;0.3793103448275862;0.6493506493506493;1.0;0.20517395182872436;0.037037037037037035;0.2987012987012987;0.5465357250000211;0.21603721420643693;23.0;0.26436781609195403;0.41409906088042947;0.5348837209302325;0.21601692390449706;0.23404255319148937;9.796296296296296;1.0
Incoming2Method;0.0;0.0;0.11494252873563218;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06097560975609756;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.42105263157894735;0.3157894736842105
EXAM-AVG;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.3157894736842105;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.6842105263157895;0.07894736842105263;0.07894736842105263;0.39473684210526316;0.18421052631578946


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL15;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842
OCL29;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842
OCL31;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL15;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.42105263157894735;0.3157894736842105
OCL29;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.42105263157894735;0.3157894736842105
OCL31;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.42105263157894735;0.3157894736842105

