In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL29;SrcNoAnswer.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// noanswer'})->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.3563218390804598;0.3563218390804598;0.6781609195402298;1.0;0.0;0.03571428571428571;0.3563218390804598;0.5969269964413234;0.0;31.0;0.3563218390804598;0.3563218390804598;1.0;0.0;0.21678321678321677;17.160714285714285;1.0
SubCall2Return;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Busy2SelectCase;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SubAction2Function;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redirect2Return;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
StringSwitch2SelectStat;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NoAnswer2SelectCase;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;87.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
CPL2Program;0.0;0.5862068965517241;0.5862068965517241;0.7931034482758621;1.0;0.0;0.05555555555555555;0.5862068965517241;0.7656414934887764;0.0;51.0;0.5862068965517241;0.5862068965517241;1.0;0.0;0.4146341463414634;72.25;1.0
Outgoing2Method;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Proxy2Select;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;87.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Proxy2Return;0.0;0.26436781609195403;0.26436781609195403;0.632183908045977;1.0;0.0;0.03125;0.26436781609195403;0.5141671091113803;0.0;23.0;0.26436781609195403;0.26436781609195403;1.0;0.0;0.152317880794702;8.265625;1.0
Default2SelectDefault;0.0;0.3563218390804598;0.3563218390804598;0.6781609195402298;1.0;0.0;0.03571428571428571;0.3563218390804598;0.5969269964413234;0.0;31.0;0.3563218390804598;0.3563218390804598;1.0;0.0;0.21678321678321677;17.160714285714285;1.0
SwitchedAddress2SelectCase;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
