;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL10;SrcRedirect.allInstances()->forAll(r|TrgHeadedMessageField.allInstances()->exists(hmf|hmf.headerId='#contact:'and TrgConstantExp.allInstances()->exists(ce|ce=hmf.exp and TrgRedirectionErrorResponse.allInstances()->exists(rer|rer.errorKind=if r.permanent='true' then RedirectionErrorKind::MOVED_PERMANENTLY else RedirectionErrorKind::MOVED_TEMPORARILY endif and TrgConstantExp.allInstances()->exists(cep|TrgConstantExp.allInstances()->exists(cep2|TrgReasonMessageField.allInstances()->exists(rmf|rmf.exp=cep2 and TrgWithExp.allInstances()->exists(we|we.exp=cep and we.msgFields->includes(rmf) and we.msgFields->includes(hmf)))))))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
SubCall2Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;27.0;30.0;0.0;5.0;27.0;35.0;5.0;57.0;0.1267605633802817;0.47368421052631576;0.5161290322580645;0.7368421052631579;1.0;0.21951219512195122;0.06666666666666667;0.47368421052631576;0.6882472016116853;0.260132990857236;27.0;0.43548387096774194;0.5628029868846075;0.7297297297297297;0.26008287520079393;0.34782608695652173;24.3;1.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
SubAction2Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
Redirect2Return;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;57.0;0.0;0.0;5.0;57.0;5.0;5.0;57.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;57.0;0.9193548387096774;1.0;0.0;0.999649245878639;1.0;1.0;1.0;
StringSwitch2SelectStat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
CPL2Program;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
Proxy2Select;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;0.0;5.0;0.0;62.0;5.0;57.0;0.0;0.0;0.08064516129032258;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04201680672268908;0.0;0.0;
