In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL6;SrcBusy.allInstances()->forAll(b|TrgSelectCase.allInstances()->exists(sc|if(b.contents.oclIsTypeOf(SrcSubCall))then (TrgReturnStat.allInstances()->exists(rs|sc.statements->includes(rs) and TrgFunctionCallExp.allInstances()->exists(fce|fce=rs.returnedValue and TrgFunctionCall.allInstances()->exists(fc|fc=fce.functionCall))))else true endif))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.1267605633802817;0.0;0.04;0.0;0.0;-0.7377049180327869;0.0;0.0;0.0;-0.7579367289598671;-0.5454545454545454;0.0;0.0;0.7258064516129032;0.0;0.02040816326530612;0.0;0.0
SubCall2Return;0.5454545454545454;0.9375;0.94;0.96875;0.9375;0.5607476635514018;0.3333333333333333;0.9375;0.9682458365518543;0.6123724356957945;89.45454545454545;0.9;0.9478141368299527;0.0;0.612268286745224;0.8867924528301887;1350.0;0.625
Busy2SelectCase;0.5454545454545454;0.9375;0.94;0.96875;0.9375;0.5607476635514018;0.3333333333333333;0.9375;0.9682458365518543;0.6123724356957945;89.45454545454545;0.9;0.9478141368299527;0.0;0.612268286745224;0.8867924528301887;1350.0;0.625
SubAction2Function;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Redirect2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
StringSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NoAnswer2SelectCase;-0.08294930875576037;0.0;0.06;0.0;0.0;-0.5607476635514018;0.0;0.0;0.0;-0.6123724356957945;-0.36363636363636365;0.0;0.0;0.32608695652173914;0.0;0.030927835051546393;0.0;0.0
CPL2Program;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Outgoing2Method;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Select;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;0.9278350515463918;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;89.36363636363636;0.9;0.9382888430983789;0.0;0.5274862709417402;0.8691588785046729;1157.142857142857;0.5882352941176471
Failure2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
AddressSwitch2SelectStat;0.3103448275862069;0.9183673469387755;0.92;0.9591836734693877;0.9183673469387755;0.3284671532846715;0.25;0.9183673469387755;0.9583148474999099;0.42857142857142855;89.27272727272727;0.9;0.9281972902079786;0.0;0.42846941204475125;0.8518518518518519;1012.5;0.5555555555555556
Proxy2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Default2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
