In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL10;SrcRedirect.allInstances()->forAll(r|TrgHeadedMessageField.allInstances()->exists(hmf|hmf.headerId='#contact:'and TrgConstantExp.allInstances()->exists(ce|ce=hmf.exp and TrgRedirectionErrorResponse.allInstances()->exists(rer|rer.errorKind=if r.permanent='true' then RedirectionErrorKind::MOVED_PERMANENTLY else RedirectionErrorKind::MOVED_TEMPORARILY endif and TrgConstantExp.allInstances()->exists(cep|TrgConstantExp.allInstances()->exists(cep2|TrgReasonMessageField.allInstances()->exists(rmf|rmf.exp=cep2 and TrgWithExp.allInstances()->exists(we|we.exp=cep and we.msgFields->includes(rmf) and we.msgFields->includes(hmf)))))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
SubCall2Return;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
Busy2SelectCase;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
SubAction2Function;0.088273474686283;0.3684210526315789;0.43023255813953487;0.6669691470054446;0.368421052631579;0.1690841276419395;0.03814713896457766;0.0016260297497075636;0.596420051979227;0.18200651939295434;27.17241379310345;0.32558139534883723;0.4724063564299788;0.1589958158995816;0.2248115253465673;0.2740740740740741;16.0;0.5341365461847389
Redirect2Return;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;29.0;0.3372093023255814;1.0;0.0;0.9999395075917973;1.0;1.0;1.0
StringSwitch2SelectStat;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
CPL2Program;0.8641819330385344;0.8275862068965517;0.9418604651162791;0.9137931034482758;1.0;0.8710601719197708;0.4;0.8275862068965517;0.909717652294684;0.8722645147887956;24.0;0.27906976744186046;0.9242269068518608;0.17391304347826086;0.8722089009822307;0.8901098901098901;115.2;1.0
Outgoing2Method;0.8641819330385344;0.8275862068965517;0.9418604651162791;0.9137931034482758;1.0;0.8710601719197708;0.4;0.8275862068965517;0.909717652294684;0.8722645147887956;24.0;0.27906976744186046;0.9242269068518608;0.17391304347826086;0.8722089009822307;0.8901098901098901;115.2;1.0
Proxy2Select;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
Proxy2Return;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
Default2SelectDefault;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
NotPresent2ErrorResponse;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
Location2URIConstant;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
Incoming2Method;0.0;0.0;0.6627906976744186;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4956521739130435;0.0;0.0
