;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL36;SrcEReference.allInstances()->forAll(rf | TrgConstant.allInstances()->select(c | Sequence{1..c.op.size()}->exists(i | Sequence{i..c.op.size()}->exists(j | c.op.substring(i,j)=rf.name)))->size()>9)

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
MetamodelEqPackages;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;2.0;0.0;98.0;0.0;100.0;0.0;98.0;2.0;0.0;0.02;0.02;0.51;0.020000000000000018;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;1.01010101010101;0.02;0.02;0.0;0.0;0.010101010101010102;0.04081632653061224;0.5;
EnumLitConstant;;;;;X;;;;;;;X;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;X;;;;0.0;2.0;10.0;88.0;10.0;90.0;98.0;2.0;-0.034482758620689655;0.0;0.88;0.0;0.0;-0.0364963503649635;0.0;0.0;0.0;-0.047619047619047616;-0.10101010101010101;0.0;0.0;0.016233766233766232;0.0;0.7857142857142857;0.0;0.0;
ClassEqSuperTypes;;;X;;;X;;X;;;X;;;X;;X;X;;;;;;;;X;;;;;;;;X;X;X;X;;;;;X;X;;X;X;;X;X;X;;;;;;;;;;;X;X;;X;X;;;X;;;;;X;;X;;;;X;X;;X;;X;;X;X;;;X;;;;X;;;X;X;X;;X;2.0;0.0;36.0;62.0;38.0;62.0;98.0;2.0;0.06444906444906445;0.05263157894736842;0.64;0.5263157894736842;0.052631578947368474;0.09717868338557993;0.05555555555555555;0.05263157894736842;0.22941573387056174;0.18247610675957288;1.6363636363636362;0.02;0.26733260160891026;0.0;0.18244925786420493;0.47058823529411764;0.1111111111111111;0.7313432835820896;
AttEqSpecificDefaultValue;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;X;;X;;;;X;;;;;;;;;;;;;;;X;;;X;X;;;;1.0;1.0;14.0;84.0;15.0;85.0;98.0;2.0;0.08536585365853659;0.06666666666666667;0.85;0.2833333333333333;0.06666666666666665;0.09517335146159075;0.046511627906976744;7.14204090961033E-6;0.18257418583505536;0.14002800840280097;0.8585858585858586;0.01;0.4039376212132279;0.011152416356877323;0.16800000336067222;0.7391304347826086;0.06666666666666667;0.7777777777777779;
EqLowerBound;;;X;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;;X;X;;;X;X;;;;;;;;;;;;X;;X;X;;;X;;;;;X;;X;;;;X;X;;;;;;;X;;;;;;;X;;;X;X;X;;;1.0;1.0;22.0;76.0;23.0;77.0;98.0;2.0;0.044850498338870434;0.043478260869565216;0.77;0.2717391304347826;0.04347826086956519;0.05490594814438231;0.029850746268656716;4.544958731774716E-6;0.14744195615489714;0.09165505947205323;0.7777777777777778;0.01;0.297018702805742;0.012602739726027398;0.12897411864489944;0.6260162601626016;0.043478260869565216;0.6901408450704225;
AttEqIsId;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;X;X;;;;;;;;;;;;;;X;X;;;;;;;;X;;X;;;;X;;;;;;;;;;;;;;;X;;;X;X;X;;;1.0;1.0;16.0;82.0;17.0;83.0;98.0;2.0;0.07205240174672489;0.058823529411764705;0.83;0.27941176470588236;0.05882352941176472;0.0821406347230865;0.04081632653061224;6.249296954092665E-6;0.17149858514250882;0.12550250461532192;0.8383838383838383;0.01;0.37165928656337227;0.011509817197020988;0.1558977094417655;0.7094017094017094;0.058823529411764705;0.7538461538461539;
EqIsOrdered;;;X;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;;X;X;;;X;X;;;;;;;;;;;;X;;X;X;;;X;;;;;X;;X;;;;X;X;;;;;;;X;;;;;;;X;;;X;X;X;;;1.0;1.0;22.0;76.0;23.0;77.0;98.0;2.0;0.044850498338870434;0.043478260869565216;0.77;0.2717391304347826;0.04347826086956519;0.05490594814438231;0.029850746268656716;4.544958731774716E-6;0.14744195615489714;0.09165505947205323;0.7777777777777778;0.01;0.297018702805742;0.012602739726027398;0.12897411864489944;0.6260162601626016;0.043478260869565216;0.6901408450704225;
Initialize;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;2.0;0.0;98.0;0.0;100.0;0.0;98.0;2.0;0.0;0.02;0.02;0.51;0.020000000000000018;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;1.01010101010101;0.02;0.02;0.0;0.0;0.010101010101010102;0.04081632653061224;0.5;
EnumLitList;;;;;X;;;;;;;X;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2.0;8.0;90.0;8.0;92.0;98.0;2.0;-0.03305785123966942;0.0;0.9;0.0;0.0;-0.034334763948497854;0.0;0.0;0.0;-0.04212627318711346;-0.08080808080808081;0.0;0.0;0.014814814814814815;0.0;0.8181818181818182;0.0;0.0;
RefEqOpposite;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;X;;;;;;;;;;;;;X;;;X;;;X;;;;;X;;;;;;;X;;;;;;;X;;;;;;;X;;;;;X;;;0.0;2.0;12.0;86.0;12.0;88.0;98.0;2.0;-0.03550295857988166;0.0;0.86;0.0;0.0;-0.038338658146964855;0.0;0.0;0.0;-0.05275349613399974;-0.12121212121212122;0.0;0.0;0.01744186046511628;0.0;0.7543859649122807;0.0;0.0;
