In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;TrgOperation.allInstances()->forAll(op|SrcEPackage.allInstances()->exists(p|op.name='@'+p.name+'@' or op.name=p.name or SrcEClass.allInstances()->exists(c|op.name=c.name+'@'+p.name or SrcEAttribute.allInstances()->exists(at|op.name=at.name+'@'+c.name+'@'+p.name) or SrcEReference.allInstances()->exists(ref|op.name=ref.name+'@'+c.name+'@'+p.name)) or SrcEEnum.allInstances()->exists(en|op.name=en.name+'@'+p.name or SrcEEnumLiteral.allInstances()->exists(enl|op.name=enl.name+'@'+en.name+'@'+p.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;0.15;0.15;0.575;0.15000000000000002;0.0;0.023529411764705882;0.15;0.3872983346207417;0.0;14.011627906976745;0.15;0.15;0.0;0.0;0.08108108108108109;2.6470588235294117;0.5
EnumLitConstant;-0.019417475728155338;0.06666666666666667;0.79;0.09583333333333333;0.125;-0.019890601690701143;0.009216589861751152;1.0203852566575037E-6;0.09128709291752768;-0.02064600347538335;0.9186046511627907;0.01;0.31888418274109553;0.04081632653061224;0.08051110239149616;0.6528925619834711;0.047619047619047616;0.4473684210526316
ClassEqSuperTypes;0.2073170731707317;0.13333333333333333;0.87;0.5666666666666667;1.0;0.23113528212100612;0.15384615384615385;0.13333333333333333;0.3651483716701107;0.3400680204068024;2.0;0.02;0.5363502279139795;0.011627906976744186;0.34000000680136044;0.7699115044247787;0.3076923076923077;1.0
AttEqSpecificDefaultValue;0.91701244813278;0.8666666666666667;0.98;0.9333333333333333;1.0;0.9185369908561929;1.0;0.8666666666666667;0.9309493362512627;0.9201865544655372;13.0;0.13;0.9585419539154788;0.07103825136612021;0.9201099324937263;0.9607843137254902;84.5;1.0
EqLowerBound;0.9618320610687023;0.9375;0.99;0.96875;0.9375;0.9621993127147767;2.0;0.9375;0.9682458365518541;0.9625334218796219;14.988372093023257;0.15;0.9805811965153409;0.0;0.9624598980844533;0.9801980198019802;225.0;0.9883720930232559
AttEqIsId;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;15.0;0.15;1.0;0.0;0.9999215747784488;1.0;1.0;1.0
EqIsOrdered;0.9618320610687023;0.9375;0.99;0.96875;0.9375;0.9621993127147767;2.0;0.9375;0.9682458365518541;0.9625334218796219;14.988372093023257;0.15;0.9805811965153409;0.0;0.9624598980844533;0.9801980198019802;225.0;0.9883720930232559
Initialize;0.0;0.15;0.15;0.575;0.15000000000000002;0.0;0.023529411764705882;0.15;0.3872983346207417;0.0;14.011627906976745;0.15;0.15;0.0;0.0;0.08108108108108109;2.6470588235294117;0.5
EnumLitList;-0.09375;0.0;0.79;0.0;0.0;-0.09787928221859707;0.0;0.0;0.0;-0.10613237065158375;-0.06976744186046512;0.0;0.0;0.03164556962025317;0.0;0.6528925619834711;0.0;0.0
RefEqOpposite;0.18128654970760233;0.13333333333333333;0.86;0.39999999999999997;0.6666666666666667;0.1979565772669221;0.07407407407407407;3.0761658668635414E-5;0.29814239699997197;0.2544662040152236;1.9883720930232558;0.02;0.5165993131297737;0.017000871839581516;0.2757632582684111;0.7543859649122807;0.2857142857142857;0.918918918918919
