In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcEReference.allInstances()->forAll(r | TrgOperation.allInstances()->select(op|not op.name.oclIsUndefined())->one(op | Sequence{1..op.name.size()}->exists(i | Sequence{i..op.name.size()}->exists(j | op.name.substring(i,j)=r.name and TrgSort.allInstances()->one(s | s.name='@Reference' and op.coarity=s)))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;0.93;0.93;0.9650000000000001;0.9299999999999999;0.0;0.2857142857142857;0.93;0.9643650760992956;0.0;92.125;0.93;0.93;0.0;0.0;0.8691588785046729;1235.5714285714287;0.5
EnumLitConstant;0.0;0.0;0.07;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03626943005181347;0.0;0.0
ClassEqSuperTypes;0.7126436781609196;0.96875;0.97;0.984375;0.96875;0.7188405797101449;0.6666666666666666;0.96875;0.9842509842514764;0.7440238091428449;92.625;0.93;0.9739780534335095;0.0;0.743875029375941;0.941747572815534;2883.0;0.7
AttEqSpecificDefaultValue;0.0;0.0;0.07;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03626943005181347;0.0;0.0
EqLowerBound;0.10337552742616034;0.45161290322580644;0.49;0.7258064516129032;1.0;0.19047619047619047;0.0392156862745098;0.45161290322580644;0.672021505032247;0.23346307108777453;42.0;0.42;0.5369799926000711;0.75;0.23344453344229626;0.32450331125827814;34.588235294117645;1.0
AttEqIsId;0.0;0.0;0.07;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03626943005181347;0.0;0.0
EqIsOrdered;0.10337552742616034;0.45161290322580644;0.49;0.7258064516129032;1.0;0.19047619047619047;0.0392156862745098;0.45161290322580644;0.672021505032247;0.23346307108777453;42.0;0.42;0.5369799926000711;0.75;0.23344453344229626;0.32450331125827814;34.588235294117645;1.0
Initialize;0.0;0.93;0.93;0.9650000000000001;0.9299999999999999;0.0;0.2857142857142857;0.93;0.9643650760992956;0.0;92.125;0.93;0.93;0.0;0.0;0.8691588785046729;1235.5714285714287;0.5
EnumLitList;0.0;0.0;0.07;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03626943005181347;0.0;0.0
RefEqOpposite;0.10337552742616034;0.45161290322580644;0.49;0.7258064516129032;1.0;0.19047619047619047;0.0392156862745098;0.45161290322580644;0.672021505032247;0.23346307108777453;42.0;0.42;0.5369799926000711;0.75;0.23344453344229626;0.32450331125827814;34.588235294117645;1.0
EnumLiteral2Operation;0.0;0.0;0.07;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03626943005181347;0.0;0.0
Package2Operation;0.0;0.93;0.93;0.9650000000000001;0.9299999999999999;0.0;0.2857142857142857;0.93;0.9643650760992956;0.0;92.125;0.93;0.93;0.0;0.0;0.8691588785046729;1235.5714285714287;0.5
ClassEqReferences;0.7126436781609196;0.96875;0.97;0.984375;0.96875;0.7188405797101449;0.6666666666666666;0.96875;0.9842509842514764;0.7440238091428449;92.625;0.93;0.9739780534335095;0.0;0.743875029375941;0.941747572815534;2883.0;0.7
EmptyList;0.0;0.93;0.93;0.9650000000000001;0.9299999999999999;0.0;0.2857142857142857;0.93;0.9643650760992956;0.0;92.125;0.93;0.93;0.0;0.0;0.8691588785046729;1235.5714285714287;0.5
NamedElList;0.03915881073241479;0.45161290322580644;0.47;0.7030791788856305;0.9545454545454546;0.06934189406099518;0.0345679012345679;0.0017226730729792282;0.6565706694547585;0.08527326845503794;41.75;0.42;0.5159436151500896;0.8429752066115702;0.16579604239365542;0.30718954248366015;33.283018867924525;0.6125
Attribute2Operation;0.0;0.0;0.07;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03626943005181347;0.0;0.0
NamedElConstant;0.0;0.93;0.93;0.9650000000000001;0.9299999999999999;0.0;0.2857142857142857;0.93;0.9643650760992956;0.0;92.125;0.93;0.93;0.0;0.0;0.8691588785046729;1235.5714285714287;0.5
EnumEqMetaAux;-0.002109704641350211;0.41935483870967744;0.43;0.673963133640553;0.9285714285714286;-0.003887269193391642;0.030624263839811542;9.367240156083718E-4;0.6240199689585151;-0.0047645524711790715;38.625;0.39;0.47460593507918514;0.8894117647058823;0.12386852794897353;0.27388535031847133;26.68421052631579;0.4945652173913044
Class2Sort;0.7126436781609196;0.96875;0.97;0.984375;0.96875;0.7188405797101449;0.6666666666666666;0.96875;0.9842509842514764;0.7440238091428449;92.625;0.93;0.9739780534335095;0.0;0.743875029375941;0.941747572815534;2883.0;0.7
createSort;0.0;0.0;0.07;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03626943005181347;0.0;0.0
