In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL17;SrcEEnum.allInstances()->forAll(e | TrgSort.allInstances()->one(s | Sequence{1..s.name.size()}->exists(i | Sequence{i..s.name.size()}->exists(j | s.name.substring(i,j)=e.name and TrgSubsortRel.allInstances()->one(ss | ss.subsorts->includes(s) and s.module=ss.module and TrgSort.allInstances()->one(so | so.name='@EnumerationInstance' and ss.supersorts->includes(so)))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
EnumLitConstant;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
ClassEqSuperTypes;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
AttEqSpecificDefaultValue;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
EqLowerBound;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
AttEqIsId;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
EqIsOrdered;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
Initialize;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
EnumLitList;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
RefEqOpposite;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
EnumLiteral2Operation;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
Package2Operation;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
ClassEqReferences;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
EmptyList;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
NamedElList;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
Attribute2Operation;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
NamedElConstant;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
EnumEqMetaAux;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;71.0;0.9342105263157895;1.0;0.0;0.9997183891861446;1.0;1.0;1.0
Class2Sort;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
createSort;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
ClassEqAttributes;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
EqIsUnique;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0
EqName;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
MetamodelEqName;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
EqPackage;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;71.0;0.9342105263157895;1.0;0.0;0.9997183891861446;1.0;1.0;1.0
EqLiterals;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;71.0;0.9342105263157895;1.0;0.0;0.9997183891861446;1.0;1.0;1.0
