;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL38;SrcEClassifier.allInstances()->select(c | not c.oclIsTypeOf(SrcEDataType))->forAll(ec| TrgRecTerm.allInstances()->one(rt | rt.op='package' and rt.type.name='@Package' and TrgConstant.allInstances()->one(c | Sequence{1..c.op.size()}->exists(i | Sequence{i..c.op.size()}->exists(j | c.op.substring(i,j)=ec.name and rt.args->includes(c) and TrgEquation.allInstances()->one(eq | eq.lhs=rt))))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
MetamodelEqPackages;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;71.0;0.0;5.0;0.0;76.0;0.0;5.0;71.0;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5;
EnumLitConstant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;71.0;0.0;5.0;0.0;76.0;5.0;71.0;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0;
ClassEqSuperTypes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;27.0;44.0;0.0;5.0;27.0;49.0;5.0;71.0;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0;
AttEqSpecificDefaultValue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;71.0;0.0;5.0;0.0;76.0;5.0;71.0;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0;
EqLowerBound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;27.0;44.0;0.0;5.0;27.0;49.0;5.0;71.0;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0;
AttEqIsId;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;71.0;0.0;5.0;0.0;76.0;5.0;71.0;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0;
EqIsOrdered;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;27.0;44.0;0.0;5.0;27.0;49.0;5.0;71.0;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0;
Initialize;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;71.0;0.0;5.0;0.0;76.0;0.0;5.0;71.0;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5;
EnumLitList;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;71.0;0.0;5.0;0.0;76.0;5.0;71.0;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0;
RefEqOpposite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;27.0;44.0;0.0;5.0;27.0;49.0;5.0;71.0;0.07470946319867183;0.38028169014084506;0.42105263157894735;0.6901408450704225;1.0;0.16090584028605484;0.045454545454545456;0.38028169014084506;0.6166698388447786;0.19698795419010928;27.0;0.35526315789473684;0.46743452949437003;0.7297297297297297;0.19695921449179696;0.26666666666666666;16.568181818181817;1.0;
