In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL14;SrcEClass.allInstances()->forAll(c | TrgSort.allInstances()->select(s|not s.name.oclIsUndefined())->one(s | Sequence{1..s.name.size()}->exists(i | Sequence{i..s.name.size()}->exists(j | s.name.substring(i,j)=c.name and TrgOperation.allInstances()->one(op | op.name=s.name and op.coarity=s and op.module=s.module)))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;57.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EnumLitConstant;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ClassEqSuperTypes;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;57.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
AttEqSpecificDefaultValue;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EqLowerBound;0.0;0.7368421052631579;0.7368421052631579;0.868421052631579;1.0;0.0;0.13333333333333333;0.7368421052631579;0.8583950752789522;0.0;42.0;0.7368421052631579;0.7368421052631579;1.0;0.0;0.5833333333333334;117.6;1.0
AttEqIsId;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EqIsOrdered;0.0;0.7368421052631579;0.7368421052631579;0.868421052631579;1.0;0.0;0.13333333333333333;0.7368421052631579;0.8583950752789522;0.0;42.0;0.7368421052631579;0.7368421052631579;1.0;0.0;0.5833333333333334;117.6;1.0
Initialize;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;57.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EnumLitList;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RefEqOpposite;0.0;0.7368421052631579;0.7368421052631579;0.868421052631579;1.0;0.0;0.13333333333333333;0.7368421052631579;0.8583950752789522;0.0;42.0;0.7368421052631579;0.7368421052631579;1.0;0.0;0.5833333333333334;117.6;1.0
EnumLiteral2Operation;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Package2Operation;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;57.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
ClassEqReferences;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;57.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
EmptyList;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;57.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElList;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;57.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
