In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.29;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1695906432748538;0.0;0.0
References;-0.04047890535917902;0.0;0.27;0.0;0.0;-0.12594235033259424;0.0;0.0;0.0;-0.22352810452292468;-0.06666666666666667;0.0;0.0;0.03652263374485597;0.0;0.15606936416184972;0.0;0.0
Attributes;0.0;0.0;0.29;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1695906432748538;0.0;0.0
Class;-0.7001020061203672;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9666666666666667;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Package;0.0;0.71;0.71;0.855;0.71;0.0;0.06896551724137931;0.71;0.8426149773176359;0.0;70.03333333333333;0.71;0.71;0.0;0.0;0.5503875968992248;173.82758620689654;0.5
NamedElement;0.0;0.71;0.71;0.855;0.71;0.0;0.06896551724137931;0.71;0.8426149773176359;0.0;70.03333333333333;0.71;0.71;0.0;0.0;0.5503875968992248;173.82758620689654;0.5
Property;-0.04047890535917902;0.0;0.27;0.0;0.0;-0.12594235033259424;0.0;0.0;0.0;-0.22352810452292468;-0.06666666666666667;0.0;0.0;0.03652263374485597;0.0;0.15606936416184972;0.0;0.0
StrongReferences;-0.04047890535917902;0.0;0.27;0.0;0.0;-0.12594235033259424;0.0;0.0;0.0;-0.22352810452292468;-0.06666666666666667;0.0;0.0;0.03652263374485597;0.0;0.15606936416184972;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125
EXAM-WC;0.5;0.25;0.25;0.25;0.5;0.5;0.25;0.25;0.25;0.5;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25
EXAM-AVG;0.3125;0.1875;0.1875;0.1875;0.4375;0.3125;0.1875;0.1875;0.1875;0.3125;0.1875;0.1875;0.1875;0.8125;0.5625;0.1875;0.1875;0.1875

OCL2;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
References;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Attributes;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
Class;-0.04047890535917902;0.2755102040816326;0.27;0.6032723434201266;0.9310344827586207;-0.12594235033259424;0.02394678492239468;5.124059886132003E-4;0.506467669601787;-0.22352810452292468;26.333333333333332;0.27;0.27;1.0740740740740742;0.0;0.15606936416184972;9.986301369863014;0.21599999999999997
Package;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
NamedElement;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
Property;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
StrongReferences;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125
EXAM-WC;0.5;0.25;0.25;0.25;0.5;0.5;0.25;0.25;0.25;0.5;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25
EXAM-AVG;0.3125;0.1875;0.1875;0.1875;0.4375;0.3125;0.1875;0.1875;0.1875;0.3125;0.1875;0.1875;0.1875;0.8125;0.5625;0.1875;0.1875;0.1875

OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
References;0.0;0.02;0.02;0.51;1.0;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;2.0;0.02;0.02;1.0;0.0;0.010101010101010102;0.04081632653061224;1.0
Attributes;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;0.02;0.02;0.51;1.0;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;2.0;0.02;0.02;1.0;0.0;0.010101010101010102;0.04081632653061224;1.0
StrongReferences;0.0;0.02;0.02;0.51;1.0;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;2.0;0.02;0.02;1.0;0.0;0.010101010101010102;0.04081632653061224;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.25;0.125
EXAM-WC;1.0;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25;1.0;0.25;0.25;0.25;1.0;1.0;0.25;0.375;0.75
EXAM-AVG;0.5625;0.1875;0.1875;0.1875;0.6875;0.5625;0.1875;0.1875;0.1875;0.5625;0.1875;0.1875;0.1875;0.8125;0.5625;0.1875;0.3125;0.4375

OCL8;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
References;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Attributes;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
Class;-0.04047890535917902;0.2755102040816326;0.27;0.6032723434201266;0.9310344827586207;-0.12594235033259424;0.02394678492239468;5.124059886132003E-4;0.506467669601787;-0.22352810452292468;26.333333333333332;0.27;0.27;1.0740740740740742;0.0;0.15606936416184972;9.986301369863014;0.21599999999999997
Package;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
NamedElement;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
Property;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
StrongReferences;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125
EXAM-WC;0.5;0.25;0.25;0.25;0.5;0.5;0.25;0.25;0.25;0.5;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25
EXAM-AVG;0.3125;0.1875;0.1875;0.1875;0.4375;0.3125;0.1875;0.1875;0.1875;0.3125;0.1875;0.1875;0.1875;0.8125;0.5625;0.1875;0.1875;0.1875

OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
References;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Attributes;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
Class;-0.04047890535917902;0.2755102040816326;0.27;0.6032723434201266;0.9310344827586207;-0.12594235033259424;0.02394678492239468;5.124059886132003E-4;0.506467669601787;-0.22352810452292468;26.333333333333332;0.27;0.27;1.0740740740740742;0.0;0.15606936416184972;9.986301369863014;0.21599999999999997
Package;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
NamedElement;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
Property;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
StrongReferences;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125
EXAM-WC;0.5;0.25;0.25;0.25;0.5;0.5;0.25;0.25;0.25;0.5;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25
EXAM-AVG;0.3125;0.1875;0.1875;0.1875;0.4375;0.3125;0.1875;0.1875;0.1875;0.3125;0.1875;0.1875;0.1875;0.8125;0.5625;0.1875;0.1875;0.1875

OCL10;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
References;0.0;0.02;0.02;0.51;1.0;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;2.0;0.02;0.02;1.0;0.0;0.010101010101010102;0.04081632653061224;1.0
Attributes;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;0.02;0.02;0.51;1.0;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;2.0;0.02;0.02;1.0;0.0;0.010101010101010102;0.04081632653061224;1.0
StrongReferences;0.0;0.02;0.02;0.51;1.0;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;2.0;0.02;0.02;1.0;0.0;0.010101010101010102;0.04081632653061224;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.25;0.125
EXAM-WC;1.0;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25;1.0;0.25;0.25;0.25;1.0;1.0;0.25;0.375;0.75
EXAM-AVG;0.5625;0.1875;0.1875;0.1875;0.6875;0.5625;0.1875;0.1875;0.1875;0.5625;0.1875;0.1875;0.1875;0.8125;0.5625;0.1875;0.3125;0.4375

OCL11;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
References;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Attributes;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
Class;-0.04047890535917902;0.2755102040816326;0.27;0.6032723434201266;0.9310344827586207;-0.12594235033259424;0.02394678492239468;5.124059886132003E-4;0.506467669601787;-0.22352810452292468;26.333333333333332;0.27;0.27;1.0740740740740742;0.0;0.15606936416184972;9.986301369863014;0.21599999999999997
Package;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
NamedElement;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
Property;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
StrongReferences;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125
EXAM-WC;0.5;0.25;0.25;0.25;0.5;0.5;0.25;0.25;0.25;0.5;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25
EXAM-AVG;0.3125;0.1875;0.1875;0.1875;0.4375;0.3125;0.1875;0.1875;0.1875;0.3125;0.1875;0.1875;0.1875;0.8125;0.5625;0.1875;0.1875;0.1875

OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
References;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Attributes;0.0;0.0;0.02;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102;0.0;0.0
Class;-0.04047890535917902;0.2755102040816326;0.27;0.6032723434201266;0.9310344827586207;-0.12594235033259424;0.02394678492239468;5.124059886132003E-4;0.506467669601787;-0.22352810452292468;26.333333333333332;0.27;0.27;1.0740740740740742;0.0;0.15606936416184972;9.986301369863014;0.21599999999999997
Package;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
NamedElement;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
Property;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
StrongReferences;-0.04079933388842631;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125
