In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.29;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1695906432748538;0.0;0.0
References;0.0;0.0;0.29;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1695906432748538;0.0;0.0
Attributes;-0.23531184091593854;0.0;0.18;0.0;0.0;-0.5141540487162607;0.0;0.0;0.0;-0.5500871686057616;-0.36666666666666664;0.0;0.0;0.28358750907770514;0.0;0.0989010989010989;0.0;0.0
Class;-0.7001020061203672;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9666666666666667;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Package;0.0;0.71;0.71;0.855;0.71;0.0;0.06896551724137931;0.71;0.8426149773176359;0.0;70.03333333333333;0.71;0.71;0.0;0.0;0.5503875968992248;173.82758620689654;0.5
NamedElement;0.0;0.71;0.71;0.855;0.71;0.0;0.06896551724137931;0.71;0.8426149773176359;0.0;70.03333333333333;0.71;0.71;0.0;0.0;0.5503875968992248;173.82758620689654;0.5
Property;-0.23531184091593854;0.0;0.18;0.0;0.0;-0.5141540487162607;0.0;0.0;0.0;-0.5500871686057616;-0.36666666666666664;0.0;0.0;0.28358750907770514;0.0;0.0989010989010989;0.0;0.0
StrongReferences;0.0;0.0;0.29;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1695906432748538;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125
EXAM-WC;0.625;0.25;0.25;0.25;0.625;0.625;0.25;0.25;0.25;0.625;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25
EXAM-AVG;0.375;0.1875;0.1875;0.1875;0.5625;0.375;0.1875;0.1875;0.1875;0.375;0.1875;0.1875;0.1875;0.75;0.5625;0.1875;0.1875;0.1875

OCL2;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.11;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0582010582010582;0.0;0.0
References;0.0;0.0;0.11;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0582010582010582;0.0;0.0
Attributes;-0.24347177319074856;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9166666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Class;-0.23531184091593854;0.20224719101123595;0.18;0.41146842309182485;0.6206896551724138;-0.5141540487162607;0.01184990125082291;4.147571622417369E-5;0.3543059966305303;-0.5500871686057616;17.083333333333332;0.18;0.18;1.6111111111111112;0.0;0.0989010989010989;3.951219512195122;0.16822429906542055
Package;0.0;0.89;0.89;0.9450000000000001;0.89;0.0;0.18181818181818182;0.89;0.9433981132056604;0.0;88.08333333333333;0.89;0.89;0.0;0.0;0.8018018018018018;720.0909090909091;0.5
NamedElement;0.0;0.89;0.89;0.9450000000000001;0.89;0.0;0.18181818181818182;0.89;0.9433981132056604;0.0;88.08333333333333;0.89;0.89;0.0;0.0;0.8018018018018018;720.0909090909091;0.5
Property;-0.24347177319074856;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9166666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0
StrongReferences;0.0;0.0;0.11;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0582010582010582;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125
EXAM-WC;0.625;0.25;0.25;0.25;0.625;0.625;0.25;0.25;0.25;0.625;0.25;0.25;0.25;1.0;1.0;0.25;0.25;0.25
EXAM-AVG;0.375;0.1875;0.1875;0.1875;0.5625;0.375;0.1875;0.1875;0.1875;0.375;0.1875;0.1875;0.1875;0.75;0.5625;0.1875;0.1875;0.1875

OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
