In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL2;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.71;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5503875968992248;0.0;0.0
References;0.0;0.0;0.71;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5503875968992248;0.0;0.0
Attributes;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;1.0;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;13.0;0.13;0.7305531586484636;0.08387096774193549;0.6048027634227622;0.7241379310344828;10.5625;1.0
Class;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;29.0;0.29;1.0;0.0;0.9999514350930019;1.0;1.0;1.0
Package;0.0;0.29;0.29;0.645;0.29000000000000004;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;28.01388888888889;0.29;0.29;0.0;0.0;0.1695906432748538;11.845070422535212;0.5
NamedElement;0.0;0.29;0.29;0.645;0.29000000000000004;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;28.01388888888889;0.29;0.29;0.0;0.0;0.1695906432748538;11.845070422535212;0.5
Property;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;1.0;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;13.0;0.13;0.7305531586484636;0.08387096774193549;0.6048027634227622;0.7241379310344828;10.5625;1.0
StrongReferences;0.0;0.0;0.71;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5503875968992248;0.0;0.0
EXAM-BC;0.25;0.25;0.25;0.25;0.5;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.125;0.25;0.25;0.125;0.125
EXAM-WC;0.375;0.375;0.375;0.375;0.75;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.25;0.375;0.375;0.25;0.375
EXAM-AVG;0.3125;0.3125;0.3125;0.3125;0.625;0.3125;0.3125;0.3125;0.3125;0.3125;0.3125;0.25;0.3125;0.1875;0.3125;0.3125;0.1875;0.25

OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.71;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5503875968992248;0.0;0.0
References;0.0;0.0;0.71;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5503875968992248;0.0;0.0
Attributes;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;1.0;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;13.0;0.13;0.7305531586484636;0.08387096774193549;0.6048027634227622;0.7241379310344828;10.5625;1.0
