In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL13;TrgWeakReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.02;1.0;0.0;0.9994900560938297;1.0;1.0;1.0
References;0.4845360824742268;0.3333333333333333;0.96;0.6666666666666666;0.33333333333333337;0.49473684210526314;0.5;0.3333333333333333;0.5773502691896258;0.5654448612875199;1.9595959595959596;0.02;0.7970708105052082;0.0;0.5652748443960417;0.9230769230769231;1.0;0.9607843137254901
Attributes;0.34210526315789475;0.2222222222222222;0.93;0.6111111111111112;0.2222222222222222;0.3586206896551724;0.2857142857142857;0.2222222222222222;0.47140452079103173;0.45425676257949793;1.9292929292929293;0.02;0.688760762944314;0.0;0.45414341218599985;0.8691588785046729;0.5714285714285714;0.9333333333333333
Class;0.09517426273458444;0.06896551724137931;0.73;0.5344827586206896;0.06896551724137934;0.12594235033259424;0.07407407407407407;0.06896551724137931;0.2626128657194451;0.22352810452292468;1.7272727272727273;0.02;0.34011750038762606;0.0;0.2234929235725159;0.5748031496062992;0.14814814814814814;0.784
Package;0.0;0.02;0.02;0.51;0.020000000000000018;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;1.01010101010101;0.02;0.02;0.0;0.0;0.010101010101010102;0.04081632653061224;0.5
NamedElement;0.0;0.02;0.02;0.51;0.020000000000000018;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;1.01010101010101;0.02;0.02;0.0;0.0;0.010101010101010102;0.04081632653061224;0.5
Property;0.24033149171270718;0.15384615384615385;0.89;0.5769230769230769;0.15384615384615385;0.26224566691785983;0.18181818181818182;0.15384615384615385;0.3922322702763681;0.36956421364396125;1.8888888888888888;0.02;0.5800068917995778;0.0;0.36948573737615314;0.8018018018018018;0.36363636363636365;0.8990825688073394
StrongReferences;-0.0273972602739726;0.0;0.94;0.0;0.0;-0.027586206896551724;0.0;0.0;0.0;-0.029160592175990215;-0.04040404040404041;0.0;0.0;0.010638297872340425;0.0;0.8867924528301887;0.0;0.0
EXAM-BC;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.25;0.25;0.125;0.25
