In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;-0.03503184713375796;0.0;0.87;0.0;0.0;-0.0374468085106383;0.0;0.0;0.0;-0.050223074950760886;-0.022222222222222223;0.0;0.0;0.01053639846743295;0.0;0.7699115044247787;0.0;0.0
References;-0.03503184713375796;0.0;0.87;0.0;0.0;-0.0374468085106383;0.0;0.0;0.0;-0.050223074950760886;-0.022222222222222223;0.0;0.0;0.01053639846743295;0.0;0.7699115044247787;0.0;0.0
Attributes;0.9053926206244087;0.8461538461538461;0.98;0.9230769230769231;0.8461538461538461;0.9071090047393365;1.0;0.8461538461538461;0.9198662110077999;0.909471908847024;10.977777777777778;0.11;0.9544786380799085;0.0;0.9093854866365321;0.9607843137254902;60.5;0.978021978021978
Class;0.4646044021415824;0.3793103448275862;0.82;0.6896551724137931;0.3793103448275862;0.5141540487162607;0.1111111111111111;0.3793103448275862;0.6158817620514397;0.5500871686057616;10.8;0.11;0.6839131674892721;0.0;0.5500484266618924;0.6949152542372882;6.722222222222222;0.8317757009345794
Package;0.0;0.11;0.11;0.555;0.10999999999999999;0.0;0.02247191011235955;0.11;0.33166247903553997;0.0;10.011111111111111;0.11;0.11;0.0;0.0;0.0582010582010582;1.3595505617977528;0.5
NamedElement;0.0;0.11;0.11;0.555;0.10999999999999999;0.0;0.02247191011235955;0.11;0.33166247903553997;0.0;10.011111111111111;0.11;0.11;0.0;0.0;0.0582010582010582;1.3595505617977528;0.5
Property;0.9053926206244087;0.8461538461538461;0.98;0.9230769230769231;0.8461538461538461;0.9071090047393365;1.0;0.8461538461538461;0.9198662110077999;0.909471908847024;10.977777777777778;0.11;0.9544786380799085;0.0;0.9093854866365321;0.9607843137254902;60.5;0.978021978021978
StrongReferences;-0.01867572156196944;0.0;0.88;0.0;0.0;-0.02040816326530612;0.0;0.0;0.0;-0.03533326266687867;-0.011111111111111112;0.0;0.0;0.005434782608695652;0.0;0.7857142857142857;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.25;0.25;0.25
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.1875;0.1875;0.1875


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL12;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL12;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.25;0.25;0.25

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL12;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.1875;0.1875;0.1875
