In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL10;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;-0.04523227383863081;0.0;0.15555555555555556;0.0;0.0;-0.21764705882352942;0.0;0.0;0.0;-0.3242123322201615;-0.11764705882352941;0.0;0.0;0.07047619047619047;0.0;0.08433734939759036;0.0;0.0
References;0.9200710479573713;0.9736842105263158;0.9777777777777777;0.986842105263158;0.9736842105263158;0.9217081850533808;1.0;0.9736842105263158;0.9867543820659301;0.9230242056471358;73.88235294117646;0.8222222222222222;0.9815134826493089;0.0;0.9229419761312695;0.9565217391304348;2738.0;0.8888888888888888
Attributes;0.018922254216371864;0.35135135135135137;0.4111111111111111;0.5950305143853531;0.8387096774193549;0.030534351145038167;0.02798708288482239;2.814258130749767E-4;0.5428459989285601;0.031259003402087586;25.705882352941178;0.28888888888888886;0.44740744413774164;0.6307757524374735;0.19433624994015755;0.25874125874125875;12.754716981132075;0.529262086513995
Class;0.35406698564593303;0.8604651162790697;0.8666666666666667;0.9302325581395349;0.8604651162790697;0.387434554973822;0.16666666666666666;0.8604651162790697;0.9276125895432153;0.4638062947716077;73.29411764705883;0.8222222222222222;0.8837261699167638;0.0;0.46373363173866927;0.7647058823529411;456.3333333333333;0.5714285714285714
Package;0.0;0.8222222222222222;0.8222222222222222;0.9111111111111111;0.8222222222222222;0.0;0.125;0.8222222222222222;0.9067647005823629;0.0;73.05882352941177;0.8222222222222222;0.8222222222222222;0.0;0.0;0.6981132075471698;342.25;0.5
NamedElement;0.0;0.8222222222222222;0.8222222222222222;0.9111111111111111;0.8222222222222222;0.0;0.125;0.8222222222222222;0.9067647005823629;0.0;73.05882352941177;0.8222222222222222;0.8222222222222222;0.0;0.0;0.6981132075471698;342.25;0.5
Property;0.6788990825688074;0.9135802469135802;0.9222222222222223;0.9567901234567902;0.9135802469135803;0.6962885520125457;0.2857142857142857;0.9135802469135802;0.9558139185602919;0.7168604389202189;73.58823529411765;0.8222222222222222;0.9344612096026964;0.0;0.7167832867307989;0.8556701030927835;782.2857142857143;0.6956521739130435
StrongReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;74.0;0.8222222222222222;1.0;0.0;0.9999155476733385;1.0;1.0;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.875;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;1.0;0.125;0.125;0.875;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.125;0.125;0.1875;0.125;0.125;0.125;0.125;0.4375;0.125;0.6875;0.125;0.125;0.875;0.125


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL10;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.875;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL10;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;1.0;0.125;0.125;0.875;0.125

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL10;0.125;0.125;0.125;0.125;0.125;0.125;0.1875;0.125;0.125;0.125;0.125;0.4375;0.125;0.6875;0.125;0.125;0.875;0.125
