In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL8;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.03528114663726571;0.027777777777777776;0.65;0.5138888888888888;1.0;0.05326674989596338;0.05714285714285714;0.027777777777777776;0.16666666666666666;0.1340050420345616;1.0;0.01;0.20454545454545456;0.007751937984496124;0.1339769895468805;0.48148148148148145;0.02857142857142857;1.0
References;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;36.0;0.36;1.0;0.0;0.9999565991059416;1.0;1.0;1.0
Attributes;0.007807417046193884;0.3626373626373626;0.39;0.6396520146520146;0.3626373626373627;0.01536983669548511;0.02795425667090216;6.247482935594131E-4;0.5765566601970551;0.017471413945365305;32.10769230769231;0.33;0.4355575461967686;0.5652173913043478;0.14412867283382844;0.2422360248447205;17.852459016393443;0.5028571428571429
Class;0.034198860037998734;0.3711340206185567;0.39;0.6855670103092784;0.3711340206185567;0.08323699421965318;0.03278688524590164;0.3711340206185567;0.6092076990801714;0.13189733589612357;35.06153846153846;0.36;0.431989097470187;0.0;0.1318812296157152;0.2422360248447205;21.24590163934426;0.512
Package;0.0;0.36;0.36;0.6799999999999999;0.36;0.0;0.03125;0.36;0.6;0.0;35.01538461538462;0.36;0.36;0.0;0.0;0.21951219512195122;20.25;0.5
NamedElement;0.0;0.36;0.36;0.6799999999999999;0.36;0.0;0.03125;0.36;0.6;0.0;35.01538461538462;0.36;0.36;0.0;0.0;0.21951219512195122;20.25;0.5
Property;0.0693196405648267;0.3829787234042553;0.42;0.6914893617021276;0.3829787234042553;0.1506276150627615;0.034482758620689655;0.3829787234042553;0.6188527477552761;0.18948418223996677;35.10769230769231;0.36;0.4664063144418267;0.0;0.18946756135759418;0.26582278481012656;22.344827586206897;0.5245901639344263
StrongReferences;0.9781659388646288;0.9722222222222222;0.99;0.9861111111111112;1.0;0.9783795588556453;2.0;0.9722222222222222;0.9860132971832692;0.9783991809404572;35.0;0.35;0.9879993238720371;0.2147239263803681;0.9783564477642447;0.9801980198019802;1225.0;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.75;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.375;0.125;0.25;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125;0.75;0.375
EXAM-AVG;0.125;0.125;0.125;0.125;0.25;0.125;0.25;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.75;0.25

OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;-0.020179372197309416;0.0;0.09;0.0;0.0;-0.18018018018018017;0.0;0.0;0.0;-0.3015113445777636;-0.09090909090909091;0.0;0.0;0.055248618784530384;0.0;0.04712041884816754;0.0;0.0
References;0.0196078431372549;0.36666666666666664;0.4;0.6416666666666666;0.9166666666666666;0.03745318352059925;0.028423772609819122;6.357011889188351E-4;0.5797509043642028;0.041666666666666664;32.72727272727273;0.33;0.4454646055136897;0.76;0.160405527393931;0.25;18.15;0.55
Attributes;0.9418604651162791;0.989010989010989;0.99;0.9945054945054945;0.989010989010989;0.9424083769633508;2.0;0.989010989010989;0.9944903161976939;0.9434563530497264;89.9090909090909;0.9;0.9916290321163854;0.0;0.9433464757379163;0.9801980198019802;8100.0;0.9090909090909091
Class;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;0.9278350515463918;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;89.36363636363636;0.9;0.9382888430983789;0.0;0.5274862709417402;0.8691588785046729;1157.142857142857;0.5882352941176471
Package;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
NamedElement;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
Property;0.7297297297297297;0.9574468085106383;0.96;0.9787234042553192;0.9574468085106383;0.7377049180327869;0.5;0.9574468085106383;0.9784921095801633;0.7579367289598671;89.63636363636364;0.9;0.9658813404422587;0.0;0.7578303609108198;0.9230769230769231;2025.0;0.7142857142857143
StrongReferences;0.04838709677419355;0.36666666666666664;0.41;0.6547619047619048;0.9428571428571428;0.09448818897637795;0.030344827586206897;9.527258983969009E-4;0.5879747322073337;0.10482848367219183;32.81818181818182;0.33;0.45495567460329794;0.7102171591313635;0.18448523839119066;0.2578616352201258;18.45762711864407;0.6470588235294117
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.125;0.125;0.125;0.125;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.125;0.125

OCL10;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;-0.01988781234064253;0.0;0.6;0.0;0.0;-0.031476997578692496;0.0;0.0;0.0;-0.08036182459019628;-0.016129032258064516;0.0;0.0;0.008227848101265823;0.0;0.42857142857142855;0.0;0.0
References;0.8081841432225064;0.8461538461538461;0.91;0.8814102564102564;0.9166666666666666;0.8097373478539398;0.1981981981981982;0.00600377096358043;0.8807048459279793;0.8098412135034205;32.95161290322581;0.33;0.8950428574927171;0.20224719101123595;0.8174946616870578;0.8348623853211009;121.0;0.9450704225352113
Attributes;0.11894273127753303;0.42857142857142855;0.48;0.7142857142857143;0.4285714285714286;0.21951219512195122;0.038461538461538464;0.42857142857142855;0.6546536707079772;0.2514594403022007;38.16129032258065;0.39;0.5261311081652144;0.0;0.25144142682058895;0.3157894736842105;29.25;0.5398230088495575
Class;0.038780245276765;0.4020618556701031;0.42;0.7010309278350515;0.4020618556701031;0.08764044943820225;0.034482758620689655;0.4020618556701031;0.6340834768940941;0.14061839810428403;38.064516129032256;0.39;0.4620497117876382;0.0;0.1406014996789371;0.26582278481012656;26.224137931034484;0.5126050420168068
Package;0.0;0.39;0.39;0.6950000000000001;0.39;0.0;0.03278688524590164;0.39;0.6244997998398398;0.0;38.016129032258064;0.39;0.39;0.0;0.0;0.2422360248447205;24.934426229508198;0.5
NamedElement;0.0;0.39;0.39;0.6950000000000001;0.39;0.0;0.03278688524590164;0.39;0.6244997998398398;0.0;38.016129032258064;0.39;0.39;0.0;0.0;0.2422360248447205;24.934426229508198;0.5
Property;0.07841823056300268;0.4148936170212766;0.45;0.7074468085106382;0.4148936170212766;0.15902140672782875;0.03636363636363636;0.4148936170212766;0.6441223618391746;0.20201289125103125;38.11290322580645;0.39;0.49678426176968254;0.0;0.20199545292390958;0.2903225806451613;27.654545454545456;0.5258620689655172
StrongReferences;0.828693790149893;0.8461538461538461;0.92;0.8945054945054944;0.9428571428571428;0.8315427589170606;0.22916666666666666;0.008973820177498702;0.8931977372352651;0.8317504563842022;32.96774193548387;0.33;0.9060203625317168;0.205078125;0.8368726261814808;0.8518518518518519;136.125;0.9626972740315638
EXAM-BC;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.125;0.125;0.25;0.25;0.25;0.25;0.25;0.25
EXAM-WC;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.125;0.625;0.25;0.25;0.25;0.25;0.25;0.25
EXAM-AVG;0.25;0.1875;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.125;0.375;0.25;0.25;0.25;0.25;0.25;0.25

OCL11;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.03528114663726571;0.027777777777777776;0.65;0.5138888888888888;1.0;0.05326674989596338;0.05714285714285714;0.027777777777777776;0.16666666666666666;0.1340050420345616;1.0;0.01;0.20454545454545456;0.007751937984496124;0.1339769895468805;0.48148148148148145;0.02857142857142857;1.0
References;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;36.0;0.36;1.0;0.0;0.9999565991059416;1.0;1.0;1.0
Attributes;0.007807417046193884;0.3626373626373626;0.39;0.6396520146520146;0.3626373626373627;0.01536983669548511;0.02795425667090216;6.247482935594131E-4;0.5765566601970551;0.017471413945365305;32.10769230769231;0.33;0.4355575461967686;0.5652173913043478;0.14412867283382844;0.2422360248447205;17.852459016393443;0.5028571428571429
Class;0.034198860037998734;0.3711340206185567;0.39;0.6855670103092784;0.3711340206185567;0.08323699421965318;0.03278688524590164;0.3711340206185567;0.6092076990801714;0.13189733589612357;35.06153846153846;0.36;0.431989097470187;0.0;0.1318812296157152;0.2422360248447205;21.24590163934426;0.512
Package;0.0;0.36;0.36;0.6799999999999999;0.36;0.0;0.03125;0.36;0.6;0.0;35.01538461538462;0.36;0.36;0.0;0.0;0.21951219512195122;20.25;0.5
NamedElement;0.0;0.36;0.36;0.6799999999999999;0.36;0.0;0.03125;0.36;0.6;0.0;35.01538461538462;0.36;0.36;0.0;0.0;0.21951219512195122;20.25;0.5
Property;0.0693196405648267;0.3829787234042553;0.42;0.6914893617021276;0.3829787234042553;0.1506276150627615;0.034482758620689655;0.3829787234042553;0.6188527477552761;0.18948418223996677;35.10769230769231;0.36;0.4664063144418267;0.0;0.18946756135759418;0.26582278481012656;22.344827586206897;0.5245901639344263
