In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL13;TrgWeakReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8555555555555555;1.0;0.0;0.9999001098791329;1.0;1.0;1.0
References;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;77.0;0.8555555555555555;1.0;0.0;0.9999001098791329;1.0;1.0;1.0
Attributes;0.17389087200407954;0.5714285714285714;0.6;0.7537993920972644;0.9361702127659575;0.2256783587028458;0.04938271604938271;0.0019486271036315323;0.7314057747207311;0.23974755315819493;43.785714285714285;0.4888888888888889;0.6434802635373338;0.7240896358543417;0.30932993337284836;0.42857142857142855;53.77777777777778;0.7123287671232876
Class;0.4319775596072931;0.8953488372093024;0.9;0.9476744186046512;0.8953488372093024;0.4579925650557621;0.2222222222222222;0.8953488372093024;0.9462287446539036;0.5248732703334725;76.35714285714286;0.8555555555555555;0.9130854061756571;0.0;0.524783840135294;0.8181818181818182;658.7777777777778;0.5909090909090909
Package;0.0;0.8555555555555555;0.8555555555555555;0.9277777777777778;0.8555555555555556;0.0;0.15384615384615385;0.8555555555555555;0.9249624617007739;0.0;76.07142857142857;0.8555555555555555;0.8555555555555555;0.0;0.0;0.7475728155339806;456.0769230769231;0.5
NamedElement;0.0;0.8555555555555555;0.8555555555555555;0.9277777777777778;0.8555555555555556;0.0;0.15384615384615385;0.8555555555555555;0.9249624617007739;0.0;76.07142857142857;0.8555555555555555;0.8555555555555555;0.0;0.0;0.7475728155339806;456.0769230769231;0.5
Property;0.850828729281768;0.9625;0.9666666666666667;0.98125;0.9625;0.8550805108273182;0.6666666666666666;0.9625;0.9810708435174292;0.8604560508152728;76.78571428571429;0.8555555555555555;0.9721574816257672;0.0;0.860359907712874;0.9354838709677419;1976.3333333333333;0.8125
StrongReferences;0.0;0.0;0.14444444444444443;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07784431137724551;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.75;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.75;0.25;1.0;0.25;0.25;0.875;0.25
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.3125;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.4375;0.1875;0.625;0.1875;0.1875;0.8125;0.1875


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL13;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.75;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL13;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.75;0.25;1.0;0.25;0.25;0.875;0.25

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL13;0.1875;0.1875;0.1875;0.1875;0.3125;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.4375;0.1875;0.625;0.1875;0.1875;0.8125;0.1875
