In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.14457831325301204;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07792207792207792;0.0;0.0
References;0.11209302325581395;0.36619718309859156;0.4457831325301205;0.6645800730307773;0.962962962962963;0.2038917089678511;0.04043545878693624;0.0014959988669357694;0.5938302151838608;0.21233488417587196;25.923076923076923;0.3132530120481928;0.4826318064849402;0.5596499309074159;0.25196027750483524;0.2868217054263566;14.695652173913043;0.8146214099216711
Attributes;0.8953341740226987;0.9726027397260274;0.9759036144578314;0.9863013698630136;0.9726027397260274;0.8975979772439949;1.0;0.9726027397260274;0.9862062358989763;0.9002790029235508;70.84615384615384;0.8554216867469879;0.9799289132664856;0.0;0.9001648621454438;0.9529411764705882;2520.5;0.8571428571428571
Class;0.461038961038961;0.8987341772151899;0.9036144578313253;0.9493670886075949;0.8987341772151899;0.4863013698630137;0.25;0.8987341772151899;0.948015916119128;0.5473372443674284;70.38461538461539;0.8554216867469879;0.9165382569029413;0.0;0.5472317794610196;0.8241758241758241;630.125;0.6000000000000001
Package;0.0;0.8554216867469879;0.8554216867469879;0.927710843373494;0.8554216867469879;0.0;0.16666666666666666;0.8554216867469879;0.9248900944150001;0.0;70.07692307692308;0.8554216867469879;0.8554216867469879;0.0;0.0;0.7473684210526316;420.0833333333333;0.5
NamedElement;0.0;0.8554216867469879;0.8554216867469879;0.927710843373494;0.8554216867469879;0.0;0.16666666666666666;0.8554216867469879;0.9248900944150001;0.0;70.07692307692308;0.8554216867469879;0.8554216867469879;0.0;0.0;0.7473684210526316;420.0833333333333;0.5
Property;0.8369351669941061;0.9594594594594594;0.963855421686747;0.9797297297297297;0.9594594594594594;0.841897233201581;0.6666666666666666;0.9594594594594594;0.9795200148335201;0.8482892163611386;70.76923076923077;0.8554216867469879;0.9697819615378515;0.0;0.8481766186961606;0.9302325581395349;1680.3333333333333;0.8
StrongReferences;0.11209302325581395;0.36619718309859156;0.4457831325301205;0.6645800730307773;0.962962962962963;0.2038917089678511;0.04043545878693624;0.0014959988669357694;0.5938302151838608;0.21233488417587196;25.923076923076923;0.3132530120481928;0.4826318064849402;0.5596499309074159;0.25196027750483524;0.2868217054263566;14.695652173913043;0.8146214099216711
EXAM-BC;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;1.0;0.125;0.125;0.125;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.6875;0.125;0.125;0.125;0.125


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL12;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL12;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;1.0;0.125;0.125;0.125;0.125

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL12;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.6875;0.125;0.125;0.125;0.125
