In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.13333333333333333;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0
References;0.18674698795180722;0.5641025641025641;0.6;0.7603121516164995;0.9565217391304348;0.25135135135135134;0.05116279069767442;0.0028323970037453182;0.7345586196235956;0.2702711947261354;43.84615384615385;0.4888888888888889;0.6434802635373338;0.7122040072859745;0.3196523827859149;0.42857142857142855;53.77777777777778;0.7719298245614036
Attributes;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;78.0;0.8666666666666667;1.0;0.0;0.9998931738062172;1.0;1.0;1.0
Class;0.4642857142857143;0.9069767441860465;0.9111111111111111;0.9534883720930232;0.9069767441860466;0.4875;0.25;0.9069767441860465;0.9523532664857334;0.5498414147691576;77.38461538461539;0.8666666666666667;0.9228272408048059;0.0;0.5497445326180114;0.8367346938775511;760.5;0.6000000000000001
Package;0.0;0.8666666666666667;0.8666666666666667;0.9333333333333333;0.8666666666666667;0.0;0.16666666666666666;0.8666666666666667;0.9309493362512627;0.0;77.07692307692308;0.8666666666666667;0.8666666666666667;0.0;0.0;0.7647058823529411;507.0;0.5
NamedElement;0.0;0.8666666666666667;0.8666666666666667;0.9333333333333333;0.8666666666666667;0.0;0.16666666666666666;0.8666666666666667;0.9309493362512627;0.0;77.07692307692308;0.8666666666666667;0.8666666666666667;0.0;0.0;0.7647058823529411;507.0;0.5
Property;0.896551724137931;0.975;0.9777777777777777;0.9875;0.975;0.8986175115207373;1.0;0.975;0.987420882906575;0.9013878188659974;77.84615384615384;0.8666666666666667;0.9814692099955651;0.0;0.9012836642357044;0.9565217391304348;3042.0;0.8571428571428571
StrongReferences;0.18674698795180722;0.5641025641025641;0.6;0.7603121516164995;0.9565217391304348;0.25135135135135134;0.05116279069767442;0.0028323970037453182;0.7345586196235956;0.2702711947261354;43.84615384615385;0.4888888888888889;0.6434802635373338;0.7122040072859745;0.3196523827859149;0.42857142857142855;53.77777777777778;0.7719298245614036
EXAM-BC;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.875;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.25;0.125;0.25;0.125;0.125;0.125;0.125;0.625;0.125;1.0;0.125;0.125;0.875;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.25;0.125;0.1875;0.125;0.125;0.125;0.125;0.375;0.125;0.6875;0.125;0.125;0.875;0.125

OCL4;SrcNamedElement.allInstances()-> size() = TrgElement.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.15555555555555556;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08433734939759036;0.0;0.0
References;0.23269809428284854;0.5789473684210527;0.6222222222222222;0.7677345537757437;0.9565217391304348;0.3005181347150259;0.054187192118226604;0.0030088649616431882;0.7441611006409122;0.3161854729289932;43.86666666666667;0.4888888888888889;0.6632938300808445;0.6690909090909091;0.3597727461528437;0.45161290322580644;56.94117647058823;0.8020833333333334
Attributes;0.9101796407185628;0.9743589743589743;0.9777777777777777;0.9871794871794872;0.9743589743589743;0.912;1.0;0.9743589743589743;0.9870962335856491;0.9138735334633754;75.86666666666666;0.8444444444444444;0.981515598507766;0.0;0.9137819675472024;0.9565217391304348;2888.0;0.875
Class;0.40318302387267907;0.8837209302325582;0.8888888888888888;0.9418604651162791;0.8837209302325582;0.4318181818181818;0.2;0.8837209302325582;0.9400643223910575;0.5024855165595914;75.33333333333333;0.8444444444444444;0.9033214830430946;0.0;0.5024024738074295;0.8;577.6;0.5833333333333333
Package;0.0;0.8444444444444444;0.8444444444444444;0.9222222222222223;0.8444444444444444;0.0;0.14285714285714285;0.8444444444444444;0.9189365834726815;0.0;75.06666666666666;0.8444444444444444;0.8444444444444444;0.0;0.0;0.7307692307692307;412.57142857142856;0.5
NamedElement;0.0;0.8444444444444444;0.8444444444444444;0.9222222222222223;0.8444444444444444;0.0;0.14285714285714285;0.8444444444444444;0.9189365834726815;0.0;75.06666666666666;0.8444444444444444;0.8444444444444444;0.0;0.0;0.7307692307692307;412.57142857142856;0.5
Property;0.8085106382978723;0.95;0.9555555555555556;0.975;0.95;0.8154506437768241;0.5;0.95;0.9746794344808964;0.823754471047914;75.73333333333333;0.8444444444444444;0.9628142535490641;0.0;0.823665195010146;0.9148936170212766;1444.0;0.7777777777777779
StrongReferences;0.23269809428284854;0.5789473684210527;0.6222222222222222;0.7677345537757437;0.9565217391304348;0.3005181347150259;0.054187192118226604;0.0030088649616431882;0.7441611006409122;0.3161854729289932;43.86666666666667;0.4888888888888889;0.6632938300808445;0.6690909090909091;0.3597727461528437;0.45161290322580644;56.94117647058823;0.8020833333333334
EXAM-BC;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125
