In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL4;SrcNamedElement.allInstances()-> size() = TrgElement.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;-0.04066985645933014;0.0;0.13;0.0;0.0;-0.23113528212100612;0.0;0.0;0.0;-0.3400680204068024;-0.125;0.0;0.0;0.07602862254025045;0.0;0.06951871657754011;0.0;0.0
References;0.91701244813278;0.9770114942528736;0.98;0.9885057471264368;0.9770114942528736;0.9185369908561929;1.0;0.9770114942528736;0.9884389178158018;0.9201865544655372;84.875;0.85;0.9833668132045759;0.0;0.9201099324937263;0.9607843137254902;3612.5;0.8823529411764706
Attributes;0.07869481765834933;0.49411764705882355;0.52;0.6938673341677096;0.8936170212765957;0.1088688263409453;0.03434178250204415;8.190251557726416E-4;0.6644937470924058;0.1150302079497279;41.6875;0.42;0.5655868845744949;0.7441089837997055;0.23565842222026542;0.35135135135135137;36.75;0.5971563981042655
Class;0.2073170731707317;0.8673469387755102;0.87;0.9336734693877551;0.8673469387755102;0.23113528212100612;0.15384615384615385;0.8673469387755102;0.9313146293146641;0.3400680204068024;84.1875;0.85;0.882923390135178;0.0;0.34000000680136044;0.7699115044247787;555.7692307692307;0.5357142857142857
Package;0.0;0.85;0.85;0.925;0.85;0.0;0.13333333333333333;0.85;0.9219544457292886;0.0;84.0625;0.85;0.85;0.0;0.0;0.7391304347826086;481.6666666666667;0.5
NamedElement;0.0;0.85;0.85;0.925;0.85;0.0;0.13333333333333333;0.85;0.9219544457292886;0.0;84.0625;0.85;0.85;0.0;0.0;0.7391304347826086;481.6666666666667;0.5
Property;0.6601941747572816;0.9239130434782609;0.93;0.9619565217391304;0.9239130434782609;0.6762804574838389;0.2857142857142857;0.9239130434782609;0.9612039551927888;0.7019641181630338;84.5625;0.85;0.940716555414398;0.0;0.7018916618745819;0.8691588785046729;1032.142857142857;0.6818181818181818
StrongReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;85.0;0.85;1.0;0.0;0.9999215747784488;1.0;1.0;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.875;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;1.0;0.125;0.125;0.875;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.125;0.125;0.1875;0.125;0.125;0.125;0.125;0.4375;0.125;0.6875;0.125;0.125;0.875;0.125

OCL13;TrgWeakReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;-0.04066985645933014;0.0;0.13;0.0;0.0;-0.23113528212100612;0.0;0.0;0.0;-0.3400680204068024;-0.125;0.0;0.0;0.07602862254025045;0.0;0.06951871657754011;0.0;0.0
References;0.91701244813278;0.9770114942528736;0.98;0.9885057471264368;0.9770114942528736;0.9185369908561929;1.0;0.9770114942528736;0.9884389178158018;0.9201865544655372;84.875;0.85;0.9833668132045759;0.0;0.9201099324937263;0.9607843137254902;3612.5;0.8823529411764706
Attributes;0.07869481765834933;0.49411764705882355;0.52;0.6938673341677096;0.8936170212765957;0.1088688263409453;0.03434178250204415;8.190251557726416E-4;0.6644937470924058;0.1150302079497279;41.6875;0.42;0.5655868845744949;0.7441089837997055;0.23565842222026542;0.35135135135135137;36.75;0.5971563981042655
Class;0.2073170731707317;0.8673469387755102;0.87;0.9336734693877551;0.8673469387755102;0.23113528212100612;0.15384615384615385;0.8673469387755102;0.9313146293146641;0.3400680204068024;84.1875;0.85;0.882923390135178;0.0;0.34000000680136044;0.7699115044247787;555.7692307692307;0.5357142857142857
Package;0.0;0.85;0.85;0.925;0.85;0.0;0.13333333333333333;0.85;0.9219544457292886;0.0;84.0625;0.85;0.85;0.0;0.0;0.7391304347826086;481.6666666666667;0.5
NamedElement;0.0;0.85;0.85;0.925;0.85;0.0;0.13333333333333333;0.85;0.9219544457292886;0.0;84.0625;0.85;0.85;0.0;0.0;0.7391304347826086;481.6666666666667;0.5
Property;0.6601941747572816;0.9239130434782609;0.93;0.9619565217391304;0.9239130434782609;0.6762804574838389;0.2857142857142857;0.9239130434782609;0.9612039551927888;0.7019641181630338;84.5625;0.85;0.940716555414398;0.0;0.7018916618745819;0.8691588785046729;1032.142857142857;0.6818181818181818
StrongReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;85.0;0.85;1.0;0.0;0.9999215747784488;1.0;1.0;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.875;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;1.0;0.125;0.125;0.875;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.125;0.125;0.1875;0.125;0.125;0.125;0.125;0.4375;0.125;0.6875;0.125;0.125;0.875;0.125


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL4;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.875;0.125
