In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
References;0.0;0.48;0.48;0.74;1.0;0.0;0.038461538461538464;0.48;0.6928203230275508;0.0;48.0;0.48;0.48;1.0;0.0;0.3157894736842105;44.30769230769231;1.0
Attributes;0.0;0.43;0.43;0.715;1.0;0.0;0.03508771929824561;0.43;0.6557438524302001;0.0;43.0;0.43;0.43;1.0;0.0;0.27388535031847133;32.43859649122807;1.0
Class;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;0.48;0.48;0.74;1.0;0.0;0.038461538461538464;0.48;0.6928203230275508;0.0;48.0;0.48;0.48;1.0;0.0;0.3157894736842105;44.30769230769231;1.0
StrongReferences;0.0;0.48;0.48;0.74;1.0;0.0;0.038461538461538464;0.48;0.6928203230275508;0.0;48.0;0.48;0.48;1.0;0.0;0.3157894736842105;44.30769230769231;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;0.625;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;0.8125;0.5625;1.0;1.0;1.0

OCL4;SrcNamedElement.allInstances()-> size() = TrgElement.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
References;0.0;0.48;0.48;0.74;1.0;0.0;0.038461538461538464;0.48;0.6928203230275508;0.0;48.0;0.48;0.48;1.0;0.0;0.3157894736842105;44.30769230769231;1.0
Attributes;0.0;0.43;0.43;0.715;1.0;0.0;0.03508771929824561;0.43;0.6557438524302001;0.0;43.0;0.43;0.43;1.0;0.0;0.27388535031847133;32.43859649122807;1.0
Class;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;0.48;0.48;0.74;1.0;0.0;0.038461538461538464;0.48;0.6928203230275508;0.0;48.0;0.48;0.48;1.0;0.0;0.3157894736842105;44.30769230769231;1.0
StrongReferences;0.0;0.48;0.48;0.74;1.0;0.0;0.038461538461538464;0.48;0.6928203230275508;0.0;48.0;0.48;0.48;1.0;0.0;0.3157894736842105;44.30769230769231;1.0
