In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL2;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.017341040462427744;0.30612244897959184;0.32;0.653061224489796;1.0;0.05226480836236934;0.029411764705882353;0.30612244897959184;0.5532833351724882;0.09352195295828244;30.0;0.3;0.356949469308907;0.8823529411764706;0.0935073779706094;0.19047619047619047;13.235294117647058;1.0
References;0.3103448275862069;0.9183673469387755;0.92;0.9591836734693877;1.0;0.3284671532846715;0.25;0.9183673469387755;0.9583148474999099;0.42857142857142855;90.0;0.9;0.9281972902079786;0.9574468085106383;0.42846941204475125;0.8518518518518519;1012.5;1.0
Attributes;0.017341040462427744;0.30612244897959184;0.32;0.653061224489796;1.0;0.05226480836236934;0.029411764705882353;0.30612244897959184;0.5532833351724882;0.09352195295828244;30.0;0.3;0.356949469308907;0.8823529411764706;0.0935073779706094;0.19047619047619047;13.235294117647058;1.0
Class;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;98.0;0.98;1.0;0.0;0.9994900560938297;1.0;1.0;1.0
Package;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
NamedElement;0.0;0.98;0.98;0.99;0.98;0.0;1.0;0.98;0.9899494936611665;0.0;97.33333333333333;0.98;0.98;0.0;0.0;0.9607843137254902;4802.0;0.5
Property;0.5588235294117647;0.9693877551020408;0.97;0.9846938775510203;1.0;0.5663189269746647;0.6666666666666666;0.9693877551020408;0.9845749108635872;0.6226998490772391;95.0;0.95;0.9731625394366126;0.9595959595959596;0.622495834307726;0.941747572815534;3008.3333333333335;1.0
StrongReferences;0.3103448275862069;0.9183673469387755;0.92;0.9591836734693877;1.0;0.3284671532846715;0.25;0.9183673469387755;0.9583148474999099;0.42857142857142855;90.0;0.9;0.9281972902079786;0.9574468085106383;0.42846941204475125;0.8518518518518519;1012.5;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.75;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.75;0.125;0.375;0.125;0.125;0.125;0.125;0.375;0.125;0.625;0.125;0.125;0.875;0.75
EXAM-AVG;0.125;0.125;0.125;0.125;0.4375;0.125;0.25;0.125;0.125;0.125;0.125;0.25;0.125;0.5625;0.125;0.125;0.8125;0.4375

OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
