16 : token_ratio--0.0811  byte_ratio--0.1234
17 : token_ratio--0.0667  byte_ratio--0.1244
2 : token_ratio--0.0750  byte_ratio--0.1171
29 : token_ratio--0.0789  byte_ratio--0.1368
41 : token_ratio--0.0784  byte_ratio--0.1371
45 : token_ratio--0.0556  byte_ratio--0.0897
53 : token_ratio--0.1143  byte_ratio--0.2218
56 : token_ratio--0.2143  byte_ratio--0.3651
62 : token_ratio--0.0727  byte_ratio--0.1521
68 : token_ratio--0.1364  byte_ratio--0.2761
7 : token_ratio--0.1481  byte_ratio--0.2649
81 : token_ratio--0.0968  byte_ratio--0.1732
86 : token_ratio--0.0492  byte_ratio--0.0862
89 : token_ratio--0.0816  byte_ratio--0.1419
9 : token_ratio--0.0889  byte_ratio--0.1578
92 : token_ratio--0.0698  byte_ratio--0.1252
95 : token_ratio--0.0784  byte_ratio--0.1470
