12 : token_ratio--0.1250  byte_ratio--0.1665
13 : token_ratio--0.1111  byte_ratio--0.1708
18 : token_ratio--0.0952  byte_ratio--0.1004
26 : token_ratio--0.1429  byte_ratio--0.1559
30 : token_ratio--0.0455  byte_ratio--0.0669
31 : token_ratio--0.1429  byte_ratio--0.1739
34 : token_ratio--0.2857  byte_ratio--0.3024
36 : token_ratio--0.0952  byte_ratio--0.1103
4 : token_ratio--0.2857  byte_ratio--0.2116
46 : token_ratio--0.0909  byte_ratio--0.0958
49 : token_ratio--0.2222  byte_ratio--0.2483
50 : token_ratio--0.0909  byte_ratio--0.0959
51 : token_ratio--0.2500  byte_ratio--0.2552
61 : token_ratio--0.1053  byte_ratio--0.1239
67 : token_ratio--0.1000  byte_ratio--0.1340
68 : token_ratio--0.0800  byte_ratio--0.1230
70 : token_ratio--0.0909  byte_ratio--0.0958
73 : token_ratio--0.1250  byte_ratio--0.1600
80 : token_ratio--0.0870  byte_ratio--0.1135
82 : token_ratio--0.2857  byte_ratio--0.2698
9 : token_ratio--0.1538  byte_ratio--0.1773
