15 : token_ratio--0.1333  byte_ratio--0.1470
18 : token_ratio--0.0400  byte_ratio--0.0454
2 : token_ratio--0.0500  byte_ratio--0.0523
22 : token_ratio--0.0426  byte_ratio--0.0450
25 : token_ratio--0.0455  byte_ratio--0.0522
35 : token_ratio--0.0909  byte_ratio--0.0929
45 : token_ratio--0.0370  byte_ratio--0.0401
51 : token_ratio--0.0345  byte_ratio--0.0384
59 : token_ratio--0.0541  byte_ratio--0.0555
62 : token_ratio--0.0364  byte_ratio--0.0384
73 : token_ratio--0.0465  byte_ratio--0.0519
78 : token_ratio--0.0541  byte_ratio--0.0531
8 : token_ratio--0.0541  byte_ratio--0.0545
80 : token_ratio--0.0833  byte_ratio--0.0984
86 : token_ratio--0.0328  byte_ratio--0.0357
90 : token_ratio--0.0625  byte_ratio--0.0749
93 : token_ratio--0.0571  byte_ratio--0.0622
97 : token_ratio--0.0541  byte_ratio--0.0537
