1 : token_ratio--0.3333  byte_ratio--0.2829
10 : token_ratio--0.1034  byte_ratio--0.1083
100 : token_ratio--0.2308  byte_ratio--0.1980
12 : token_ratio--0.1875  byte_ratio--0.1790
13 : token_ratio--0.1667  byte_ratio--0.1814
14 : token_ratio--0.3000  byte_ratio--0.2673
15 : token_ratio--0.1667  byte_ratio--0.1485
16 : token_ratio--0.1304  byte_ratio--0.1526
21 : token_ratio--0.5000  byte_ratio--0.3824
27 : token_ratio--0.1000  byte_ratio--0.0607
28 : token_ratio--0.2500  byte_ratio--0.2339
3 : token_ratio--0.4286  byte_ratio--0.3466
30 : token_ratio--0.0682  byte_ratio--0.0758
32 : token_ratio--0.3333  byte_ratio--0.2974
39 : token_ratio--0.1250  byte_ratio--0.0622
40 : token_ratio--0.6000  byte_ratio--0.4741
44 : token_ratio--0.2727  byte_ratio--0.2574
45 : token_ratio--0.2500  byte_ratio--0.1172
53 : token_ratio--0.3333  byte_ratio--0.2350
54 : token_ratio--0.3750  byte_ratio--0.2967
56 : token_ratio--0.1579  byte_ratio--0.1458
57 : token_ratio--0.1429  byte_ratio--0.1785
59 : token_ratio--0.2000  byte_ratio--0.1618
68 : token_ratio--0.1200  byte_ratio--0.1322
69 : token_ratio--0.1250  byte_ratio--0.0902
71 : token_ratio--0.3750  byte_ratio--0.3283
8 : token_ratio--0.2727  byte_ratio--0.2104
81 : token_ratio--0.2143  byte_ratio--0.2012
84 : token_ratio--0.0882  byte_ratio--0.0949
85 : token_ratio--0.2727  byte_ratio--0.2277
89 : token_ratio--0.3000  byte_ratio--0.2605
9 : token_ratio--0.2308  byte_ratio--0.2033
90 : token_ratio--0.2500  byte_ratio--0.2430
93 : token_ratio--0.0811  byte_ratio--0.0829
94 : token_ratio--0.1429  byte_ratio--0.1427
95 : token_ratio--0.1154  byte_ratio--0.0985
96 : token_ratio--0.2727  byte_ratio--0.2108
