1 : token_ratio--10.1111  byte_ratio--7.5821
10 : token_ratio--4.1379  byte_ratio--4.3996
100 : token_ratio--10.0000  byte_ratio--8.5518
11 : token_ratio--42.0000  byte_ratio--15.8798
12 : token_ratio--7.9375  byte_ratio--6.3444
13 : token_ratio--5.6111  byte_ratio--5.6382
14 : token_ratio--10.5000  byte_ratio--9.2719
15 : token_ratio--6.0556  byte_ratio--5.0579
16 : token_ratio--5.1304  byte_ratio--4.6886
17 : token_ratio--5.2222  byte_ratio--4.3442
18 : token_ratio--5.9524  byte_ratio--4.1968
19 : token_ratio--7.6000  byte_ratio--6.3506
2 : token_ratio--25.0000  byte_ratio--15.4051
20 : token_ratio--4.3500  byte_ratio--5.4068
21 : token_ratio--11.6667  byte_ratio--10.6154
22 : token_ratio--48.0000  byte_ratio--17.8333
23 : token_ratio--12.2500  byte_ratio--10.2226
24 : token_ratio--10.5833  byte_ratio--11.5394
25 : token_ratio--15.5714  byte_ratio--11.4850
26 : token_ratio--6.9286  byte_ratio--5.7943
27 : token_ratio--2.6333  byte_ratio--1.3676
28 : token_ratio--11.0000  byte_ratio--10.3306
29 : token_ratio--12.1111  byte_ratio--8.1056
3 : token_ratio--11.5714  byte_ratio--9.6295
30 : token_ratio--1.7500  byte_ratio--1.7133
31 : token_ratio--0.5000  byte_ratio--0.4174
32 : token_ratio--11.0000  byte_ratio--11.8940
33 : token_ratio--13.0000  byte_ratio--12.6874
34 : token_ratio--21.1429  byte_ratio--17.6976
35 : token_ratio--10.5455  byte_ratio--8.2005
36 : token_ratio--6.1429  byte_ratio--5.0496
37 : token_ratio--14.7778  byte_ratio--11.7662
38 : token_ratio--3.5714  byte_ratio--2.7426
39 : token_ratio--3.4167  byte_ratio--1.5584
4 : token_ratio--19.0000  byte_ratio--11.1114
40 : token_ratio--1.6000  byte_ratio--1.8283
41 : token_ratio--8.7000  byte_ratio--6.2987
42 : token_ratio--10.5000  byte_ratio--6.7383
43 : token_ratio--28.5000  byte_ratio--23.8534
44 : token_ratio--11.8182  byte_ratio--11.0163
45 : token_ratio--1.0833  byte_ratio--0.6814
46 : token_ratio--4.2273  byte_ratio--2.7132
47 : token_ratio--3.5385  byte_ratio--2.0581
48 : token_ratio--5.5714  byte_ratio--4.4036
49 : token_ratio--11.8889  byte_ratio--8.8394
5 : token_ratio--11.9091  byte_ratio--9.7663
50 : token_ratio--5.1364  byte_ratio--3.6113
51 : token_ratio--1.0000  byte_ratio--0.6667
52 : token_ratio--5.6500  byte_ratio--5.2872
53 : token_ratio--11.8889  byte_ratio--9.1175
54 : token_ratio--15.0000  byte_ratio--10.6492
55 : token_ratio--18.8333  byte_ratio--13.9886
56 : token_ratio--4.2105  byte_ratio--4.4974
57 : token_ratio--3.5238  byte_ratio--3.6779
58 : token_ratio--1.0000  byte_ratio--0.9494
59 : token_ratio--4.7333  byte_ratio--4.7279
6 : token_ratio--3.7368  byte_ratio--4.0420
60 : token_ratio--5.1176  byte_ratio--6.2904
61 : token_ratio--2.5263  byte_ratio--2.0604
62 : token_ratio--23.6667  byte_ratio--11.3737
63 : token_ratio--15.8000  byte_ratio--12.9984
64 : token_ratio--14.7500  byte_ratio--11.3791
65 : token_ratio--5.9474  byte_ratio--4.6197
66 : token_ratio--18.3333  byte_ratio--14.7756
67 : token_ratio--5.3000  byte_ratio--4.8149
68 : token_ratio--4.5600  byte_ratio--4.6764
69 : token_ratio--4.2500  byte_ratio--2.9088
7 : token_ratio--9.1000  byte_ratio--6.2008
70 : token_ratio--5.0909  byte_ratio--3.4060
71 : token_ratio--14.2500  byte_ratio--12.1717
72 : token_ratio--11.2222  byte_ratio--7.3538
73 : token_ratio--5.3750  byte_ratio--4.3750
74 : token_ratio--8.6667  byte_ratio--4.5150
75 : token_ratio--14.0000  byte_ratio--10.8099
76 : token_ratio--29.5000  byte_ratio--13.7327
77 : token_ratio--64.5000  byte_ratio--23.0233
78 : token_ratio--7.3750  byte_ratio--5.7877
79 : token_ratio--11.1429  byte_ratio--7.2369
8 : token_ratio--9.5455  byte_ratio--8.2946
80 : token_ratio--5.3043  byte_ratio--5.4274
81 : token_ratio--8.3571  byte_ratio--6.7574
82 : token_ratio--15.5714  byte_ratio--11.6367
83 : token_ratio--5.1176  byte_ratio--4.6485
84 : token_ratio--3.8529  byte_ratio--4.3855
85 : token_ratio--9.8182  byte_ratio--7.3940
86 : token_ratio--7.5385  byte_ratio--4.5721
87 : token_ratio--6.1579  byte_ratio--5.5571
88 : token_ratio--9.1111  byte_ratio--8.7655
89 : token_ratio--9.1000  byte_ratio--6.9266
9 : token_ratio--5.4615  byte_ratio--4.3983
90 : token_ratio--6.9167  byte_ratio--6.3296
91 : token_ratio--42.0000  byte_ratio--27.2407
92 : token_ratio--4.7143  byte_ratio--2.6469
93 : token_ratio--2.4865  byte_ratio--2.4720
94 : token_ratio--3.9524  byte_ratio--3.3417
95 : token_ratio--4.5000  byte_ratio--3.7327
96 : token_ratio--8.6364  byte_ratio--7.0441
97 : token_ratio--6.0500  byte_ratio--6.0417
98 : token_ratio--9.0000  byte_ratio--7.3341
99 : token_ratio--24.6000  byte_ratio--16.3387
