1 : token_ratio--0.6667  byte_ratio--0.4215
12 : token_ratio--0.2500  byte_ratio--0.2647
16 : token_ratio--0.0714  byte_ratio--0.0588
17 : token_ratio--0.1667  byte_ratio--0.1843
19 : token_ratio--0.5000  byte_ratio--0.3418
20 : token_ratio--0.4000  byte_ratio--0.3653
21 : token_ratio--0.5000  byte_ratio--0.3941
33 : token_ratio--0.6667  byte_ratio--0.3941
38 : token_ratio--0.5000  byte_ratio--0.3369
40 : token_ratio--1.0000  byte_ratio--0.5434
41 : token_ratio--0.1111  byte_ratio--0.0976
43 : token_ratio--0.3333  byte_ratio--0.2318
45 : token_ratio--0.1176  byte_ratio--0.0939
46 : token_ratio--0.6667  byte_ratio--0.3775
5 : token_ratio--0.4000  byte_ratio--0.3633
51 : token_ratio--1.0000  byte_ratio--0.4858
52 : token_ratio--0.5000  byte_ratio--0.3521
53 : token_ratio--1.0000  byte_ratio--0.4833
54 : token_ratio--0.2000  byte_ratio--0.2298
55 : token_ratio--0.6667  byte_ratio--0.3783
57 : token_ratio--0.6667  byte_ratio--0.4087
61 : token_ratio--0.0800  byte_ratio--0.0691
64 : token_ratio--0.1111  byte_ratio--0.0709
67 : token_ratio--0.1538  byte_ratio--0.1117
69 : token_ratio--0.4000  byte_ratio--0.2733
71 : token_ratio--1.0000  byte_ratio--0.6124
76 : token_ratio--0.2857  byte_ratio--0.2551
77 : token_ratio--0.4000  byte_ratio--0.3107
83 : token_ratio--0.1333  byte_ratio--0.1276
84 : token_ratio--0.4000  byte_ratio--0.2523
86 : token_ratio--0.2222  byte_ratio--0.1375
9 : token_ratio--0.3333  byte_ratio--0.2667
95 : token_ratio--0.5000  byte_ratio--0.3738
97 : token_ratio--0.0870  byte_ratio--0.0726
